# hex,owner,ladd — generated by scripts/gen-le-aircraft.py, do not edit
20c462,US CUSTOMS & BORDER PROTECTION  OFFICE OF AIR AN,0
25ea33,US CUSTOMS & BORDER PROTECTION  NATIONAL AIR SEC,0
29f7db,UNITED STATES CUSTOMS AND BORDER PROTECTION  OFF,0
486868,Dutch Police,0
70c12d,Royal Oman Police,0
70c12e,Royal Oman Police,0
70c12f,Royal Oman Police,0
71d870,Korean National Police,0
71d871,Korean National Police,0
71d872,Korean National Police,0
71d873,Korean National Police,0
71d91a,Korean National Police,0
71d91b,Korean National Police,0
71d91c,Korean National Police,0
71d91d,Korean National Police,0
7c0ff9,STATE OF NEW SOUTH WALES REPRESENTED BY NSW POLI,1
7c1185,STATE OF NEW SOUTH WALES REPRESENTED BY NSW POLI,1
7c1239,STATE OF NEW SOUTH WALES REPRESENTED BY NSW POLI,1
7c1563,AUSTRALIAN FEDERAL POLICE,1
7c1cdb,STATE OF WESTERN AUSTRALIA - REPRESENTED BY COMM,0
7c4ced,STATE OF NEW SOUTH WALES REPRESENTED BY NSW POLI,1
7c4cf8,STATE OF NEW SOUTH WALES REPRESENTED BY NSW POLI,1
7c4d02,STATE OF NEW SOUTH WALES REPRESENTED BY NSW POLI,1
7c4d05,STATE OF NEW SOUTH WALES REPRESENTED BY NSW POLI,1
7c4e49,STATE OF NEW SOUTH WALES REPRESENTED BY NSW POLI,1
7c4ee8,SKYTRADERS PTY LTD/Victoria Police,1
7c6bdc,STATE OF WESTERN AUSTRALIA - REPRESENTED BY COMM,1
7c6ca7,STATE OF WESTERN AUSTRALIA - REPRESENTED BY COMM,1
7c6ca8,WESTERN AUSTRALIA POLICE,1
7c7180,STATE OF WESTERN AUSTRALIA - REPRESENTED BY COMM,1
7c7181,STATE OF WESTERN AUSTRALIA - REPRESENTED BY COMM,0
7c718c,STATE OF WESTERN AUSTRALIA - REPRESENTED BY COMM,0
7c7194,STATE OF WESTERN AUSTRALIA - REPRESENTED BY COMM,0
a00137,STATE OF NEW JERSEY  C/O DEPT OF LAW AND PUBLIC,0
a00196,PINELLAS COUNTY SHERIFFS OFFICE,0
a001a0,STATE OF DELAWARE  DIV OF SAFETY AND HOMELAND SE,0
a002a3,ALAMEDA COUNTY SHERIFFS OFFICE,1
a003f9,STATE OF KENTUCKY  JUSTICE CABINET  DEPARTMENT O,0
a00504,MARSHALL COUNTY SHERIFF DEPT,0
